OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Length,Shape_Area,GEOID_Data,NUM_ATMS,NUM_BANKS,NUM_CHECK_CASH,NUM_POST,Total_Population,Total_Population_Error,Total_Poverty,Total_Poverty_Error,Median_Income,Median_Income_Error,area,is_poverty_tract,Bank_Intersection_bank_area,Overall_Intersection_overall_area
1,11,001,010900,11001010900,109,Census Tract 109,G5020,S,2379832.0,2936613.0,+38.8132450,-077.0238468,0.120909154407,0.000551387173671,14000US11001010900,0,1,0,0,4231,865,2059,800,33698,5593,5331810.79172,1,472310,1301048
2,11,001,009906,11001009906,99.06,Census Tract 99.06,G5020,S,252684.0,0.0,+38.8879464,-076.9359151,0.0226349524109,2.6234104411e-05,14000US11001009906,0,0,1,0,1521,188,410,170,46979,8489,253405.104224,1,253405,253405
3,11,001,009905,11001009905,99.05,Census Tract 99.05,G5020,S,431557.0,0.0,+38.8843295,-076.9250522,0.0301330959142,4.48032863938e-05,14000US11001009905,0,0,0,0,2760,384,743,267,43626,4433,432789.579272,1,,
4,11,001,010400,11001010400,104,Census Tract 104,G5020,S,2740208.0,83.0,+38.8499425,-077.0004103,0.0784291742302,0.000284349858878,14000US11001010400,0,0,1,0,4142,550,1298,570,35417,6821,2748142.10532,1,204152,836612
5,11,001,009903,11001009903,99.03,Census Tract 99.03,G5020,S,383679.0,0.0,+38.8883180,-076.9212121,0.0359142662031,3.98347908274e-05,14000US11001009903,0,0,0,0,1828,231,324,169,60574,14631,384769.010789,0,8418,8418
6,11,001,009904,11001009904,99.04,Census Tract 99.04,G5020,S,426198.0,0.0,+38.8851712,-076.9311353,0.0297857374116,4.42470316609e-05,14000US11001009904,0,0,0,0,2434,302,864,277,33333,5717,427410.605648,1,123320,123320
7,11,001,002201,11001002201,22.01,Census Tract 22.01,G5020,S,415172.0,0.0,+38.9491337,-077.0232932,0.0264996210763,4.31406047784e-05,14000US11001002201,0,0,1,0,3658,315,289,121,65638,9989,416340.354078,0,416340,416340
8,11,001,006400,11001006400,64,Census Tract 64,G5020,S,688026.0,246481.0,+38.8688572,-077.0114342,0.0477198729029,9.69970166373e-05,14000US11001006400,0,0,1,0,2130,280,943,243,22969,5994,937181.923421,1,323426,594483
9,11,001,002202,11001002202,22.02,Census Tract 22.02,G5020,S,693964.0,566.0,+38.9479653,-077.0118821,0.0345095745148,7.21684693356e-05,14000US11001002202,0,0,0,0,3974,546,1049,465,48274,13934,696486.99584,1,63932,74845
10,11,001,002102,11001002102,21.02,Census Tract 21.02,G5020,S,726388.0,0.0,+38.9557857,-077.0142326,0.0365448154926,7.54866175629e-05,14000US11001002102,0,0,1,0,4887,453,881,276,65387,8965,728437.183951,0,5490,63967
